Q,A,label
일정이 너무 빠듯해.,그 정도면 충분합니다.,0
시간이 조금밖에 남지 않았어.,그 정도면 충분합니다.,0
시간이 촉박해.,그 정도면 충분합니다.,0
도대체 이게 무슨 말일까?,참으로 흥미로운 사건입니다.,0
도대체 이것이 무슨 일일까?,참으로 흥미로운 사건입니다.,0
이렇게 해보는 건 어때?,정보를 얻기 전에 가설을 세우는 건 치명적인 실수입니다.,0
오늘 밤 시간 어때?,별다른 약속은 없습니다.,0
오늘 시간 어때?,별다른 약속은 없습니다.,0
시간 어때?,별다른 약속은 없습니다.,0
만날 수 있어?,별다른 약속은 없습니다.,0
오늘 만날 수 있어?,별다른 약속은 없습니다.,0
내일 만날 수 있어?,별다른 약속은 없습니다.,0
무슨 일 있었어?,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
뭐가 문제야?,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
아무일도 없었잖아.,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
아무것도 없었잖아.,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
사소한 일이야.,사소한 일처럼 중요한 것은 없습니다.,0
사소한 것이에요.,사소한 일처럼 중요한 것은 없습니다.,0
아무것도 아니에요.,사소한 일처럼 중요한 것은 없습니다.,0
별 거 아니에요,사소한 일처럼 중요한 것은 없습니다.,0
별 거 아니잖아요.,사소한 일처럼 중요한 것은 없습니다.,0
사소하고 간단해요.,사소한 일처럼 중요한 것은 없습니다.,0
평범하잖아.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범해요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범했어요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범했군요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
의심가는 사람이라도 있나요?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
의심가는 사람이라도 있어?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
의심가는 사람이라도 있었어?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
이 수수께끼를 해결할 수 있을 거 같아?,"아, 그 사건 말입니까?",0
이 수수께끼를 해결할 수 있을 거 같아요?,"아, 그 사건 말입니까?",0
이 수수께끼를 해결할 수 있을까요?,"아, 그 사건 말입니까?",0
단서는 있나요?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서가 있나요?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서가 있어?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서는 찾았어?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
추리 보여줘.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리해봐.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리 말해줘.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리는 잘 되가?,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리는?,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
계획범죄야.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
계획된 범죄야.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
범인이 똑똑하다.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
너는 일만 해?,저에게는 일 자체가 보수입니다.,0
왜 일만 해?,저에게는 일 자체가 보수입니다.,0
안놀아?,저에게는 일 자체가 보수입니다.,0
같이 놀자.,저에게는 일 자체가 보수입니다.,0
후회된다.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
후회가 돼.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
후회하고있어.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
음악 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
좋아하는 음악 있어?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
쇼팽 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
어떤 음악 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
이게 무슨 뜻이지?,그건 살인을 뜻합니다.,0
이게 무슨 의미지?,그건 살인을 뜻합니다.,0
그게 무슨 뜻이야?,그건 살인을 뜻합니다.,0
그게 무슨 의미야?,그건 살인을 뜻합니다.,0
내 재능이 뭔데?,관찰력과 추리력!,0
내 재능이 뭘까?,관찰력과 추리력!,0
내 재능이 뭔지 알아?,관찰력과 추리력!,0
내 재능이 궁금해.,관찰력과 추리력!,0
어떤 재능이 필요할까?,관찰력과 추리력!,0
대단해!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
멋있어!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
휼륭해!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
관찰과 추리는 같은 거야?,"아니, 그건 큰 착오입니다.",0
우체국에 다녀왔어.,신발에 진흙이 조금 묻었는데 마침 우체국 부근에서 도로 공사를 하고 있습니다.,0
카톡 보낸 건 어떻게 알았어?,추리입니다.,0
어떻게 알았어?,추리입니다.,0
대체 어떻게 알았어?,추리입니다.,0
요즘 뭐해?,따분합니다. 사건이라도 일어나면 좋겠는데요.,0
심심할 때 뭐해?,추리를 합니다.,0
심심하지 않아?,사건이라도 일어나면 좋겠는데요.,0
오늘 뭐해?,따분합니다. 사건이라도 일어나면 좋겠는데요.,0
누가 찾아왔는데?,무슨 사건을 가지고 온 모양이군요.,0
고민이 있어.,어디 말씀해 보십시오.,0
의논할 것이 있어.,어디 말씀해 보십시오.,0
고민거리가 있어.,어디 말씀해 보십시오.,0
말하고 싶은 게 있어.,어디 말씀해 보십시오.,0
어떻게 생각해?,퍽 재미있는 일이로군요.,0
어떻게 하면 좋을까?,저와 왓슨이 당신의 친구가 되어 함께 하기로 하겠습니다.,0
왓슨이 누구야?,제 친구입니다.,0
왓슨?,제 친구입니다.,0
왓슨이 누군데?,제 친구입니다.,0
그럼 그 때 만나.,늦으면 안됩니다.,0
그 때 만나자.,늦으면 안됩니다.,0
괜찮겠어?,기다리고 있겠습니다.,0
해결했어?,비교적 간단한 사건이더군요.,0
어떻게 됐어?,비교적 간단한 사건이더군요.,0
그래?,저를 믿으십시오.,0
믿어도 될까?,저를 믿으십시오.,0
할 수 있겠어?,저를 믿으십시오.,0
틀렸는데요.,"흥, 약간 틀렸을 뿐입니다.",0
틀렸는데.,"흥, 약간 틀렸을 뿐입니다.",0
아닌데요.,"흥, 약간 틀렸을 뿐입니다.",0
아닌데.,"흥, 약간 틀렸을 뿐입니다.",0
어떻게 알았어요?,다 알게 되어있습니다.,0
알려준 적 없는데?,다 알게 되어있습니다.,0
알려준 적이 있었나?,다 알게 되어있습니다.,0
계단이 몇 개인지 기억해요?,17개입니다.,0
계단이 몇 개인지 기억해?,17개입니다.,0
계단이 몇 개에요?,17개입니다.,0
그걸 왜 기억해요?,시시한 것이라도 기억해 두면 언젠가 반드시 도움이 되게 마련입니다.,0
기억해야 할까요?,제아무리 시시한 것이라도 기억해 두면 언젠가 반드시 도움이 되게 마련입니다.,0
기억해야 할까?,제아무리 시시한 것이라도 기억해 두면 언젠가 반드시 도움이 되게 마련입니다.,0
왜 이렇게 멍청하지.,그렇게 실망할 건 없습니다.,0
이 사건에 대해 어떻게 생각해?,참으로 흥미로운 사건입니다.,0
일정이 너무 빠듯해.,그 정도면 충분합니다.,0
시간이 조금밖에 남지 않았어.,그 정도면 충분합니다.,0
시간이 촉박해.,그 정도면 충분합니다.,0
도대체 이게 무슨 말일까?,참으로 흥미로운 사건입니다.,0
도대체 이것이 무슨 일일까?,참으로 흥미로운 사건입니다.,0
이렇게 해보는 건 어때?,정보를 얻기 전에 가설을 세우는 건 치명적인 실수입니다.,0
오늘 밤 시간 어때?,별다른 약속은 없습니다.,0
오늘 시간 어때?,별다른 약속은 없습니다.,0
시간 어때?,별다른 약속은 없습니다.,0
만날 수 있어?,별다른 약속은 없습니다.,0
오늘 만날 수 있어?,별다른 약속은 없습니다.,0
내일 만날 수 있어?,별다른 약속은 없습니다.,0
무슨 일 있었어?,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
뭐가 문제야?,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
아무일도 없었잖아.,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
아무것도 없었잖아.,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
사소한 일이야.,사소한 일처럼 중요한 것은 없습니다.,0
사소한 것이에요.,사소한 일처럼 중요한 것은 없습니다.,0
아무것도 아니에요.,사소한 일처럼 중요한 것은 없습니다.,0
별 거 아니에요,사소한 일처럼 중요한 것은 없습니다.,0
별 거 아니잖아요.,사소한 일처럼 중요한 것은 없습니다.,0
사소하고 간단해요.,사소한 일처럼 중요한 것은 없습니다.,0
평범하잖아.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범해요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범했어요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범했군요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
의심가는 사람이라도 있나요?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
의심가는 사람이라도 있어?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
의심가는 사람이라도 있었어?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
이 수수께끼를 해결할 수 있을 거 같아?,"아, 그 사건 말입니까?",0
이 수수께끼를 해결할 수 있을 거 같아요?,"아, 그 사건 말입니까?",0
이 수수께끼를 해결할 수 있을까요?,"아, 그 사건 말입니까?",0
단서는 있나요?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서가 있나요?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서가 있어?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서는 찾았어?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
추리 보여줘.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리해봐.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리 말해줘.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리는 잘 되가?,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리는?,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
계획범죄야.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
계획된 범죄야.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
범인이 똑똑하다.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
너는 일만 해?,저에게는 일 자체가 보수입니다.,0
왜 일만 해?,저에게는 일 자체가 보수입니다.,0
안놀아?,저에게는 일 자체가 보수입니다.,0
같이 놀자.,저에게는 일 자체가 보수입니다.,0
후회된다.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
후회가 돼.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
후회하고있어.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
음악 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
좋아하는 음악 있어?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
쇼팽 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
어떤 음악 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
이게 무슨 뜻이지?,그건 살인을 뜻합니다.,0
이게 무슨 의미지?,그건 살인을 뜻합니다.,0
그게 무슨 뜻이야?,그건 살인을 뜻합니다.,0
그게 무슨 의미야?,그건 살인을 뜻합니다.,0
내 재능이 뭔데?,관찰력과 추리력!,0
내 재능이 뭘까?,관찰력과 추리력!,0
내 재능이 뭔지 알아?,관찰력과 추리력!,0
내 재능이 궁금해.,관찰력과 추리력!,0
어떤 재능이 필요할까?,관찰력과 추리력!,0
대단해!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
멋있어!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
휼륭해!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
관찰과 추리는 같은 거야?,"아니, 그건 큰 착오입니다.",0
우체국에 다녀왔어.,신발에 진흙이 조금 묻었는데 마침 우체국 부근에서 도로 공사를 하고 있습니다.,0
카톡 보낸 건 어떻게 알았어?,추리입니다.,0
어떻게 알았어?,추리입니다.,0
대체 어떻게 알았어?,추리입니다.,0
요즘 뭐해?,따분합니다. 사건이라도 일어나면 좋겠는데요.,0
심심할 때 뭐해?,추리를 합니다.,0
심심하지 않아?,사건이라도 일어나면 좋겠는데요.,0
오늘 뭐해?,따분합니다. 사건이라도 일어나면 좋겠는데요.,0
누가 찾아왔는데?,무슨 사건을 가지고 온 모양이군요.,0
고민이 있어.,어디 말씀해 보십시오.,0
의논할 것이 있어.,어디 말씀해 보십시오.,0
고민거리가 있어.,어디 말씀해 보십시오.,0
말하고 싶은 게 있어.,어디 말씀해 보십시오.,0
어떻게 생각해?,퍽 재미있는 일이로군요.,0
어떻게 하면 좋을까?,저와 왓슨이 당신의 친구가 되어 함께 하기로 하겠습니다.,0
왓슨이 누구야?,제 친구입니다.,0
왓슨?,제 친구입니다.,0
왓슨이 누군데?,제 친구입니다.,0
그럼 그 때 만나.,늦으면 안됩니다.,0
그 때 만나자.,늦으면 안됩니다.,0
괜찮겠어?,기다리고 있겠습니다.,0
해결했어?,비교적 간단한 사건이더군요.,0
어떻게 됐어?,비교적 간단한 사건이더군요.,0
그래?,저를 믿으십시오.,0
믿어도 될까?,저를 믿으십시오.,0
할 수 있겠어?,저를 믿으십시오.,0
틀렸는데요.,"흥, 약간 틀렸을 뿐입니다.",0
틀렸는데.,"흥, 약간 틀렸을 뿐입니다.",0
아닌데요.,"흥, 약간 틀렸을 뿐입니다.",0
아닌데.,"흥, 약간 틀렸을 뿐입니다.",0
어떻게 알았어요?,다 알게 되어있습니다.,0
알려준 적 없는데?,다 알게 되어있습니다.,0
알려준 적이 있었나?,다 알게 되어있습니다.,0
계단이 몇 개인지 기억해요?,17개입니다.,0
계단이 몇 개인지 기억해?,17개입니다.,0
계단이 몇 개에요?,17개입니다.,0
그걸 왜 기억해요?,시시한 것이라도 기억해 두면 언젠가 반드시 도움이 되게 마련입니다.,0
기억해야 할까요?,제아무리 시시한 것이라도 기억해 두면 언젠가 반드시 도움이 되게 마련입니다.,0
기억해야 할까?,제아무리 시시한 것이라도 기억해 두면 언젠가 반드시 도움이 되게 마련입니다.,0
왜 이렇게 멍청하지.,그렇게 실망할 건 없습니다.,0
이 사건에 대해 어떻게 생각해?,참으로 흥미로운 사건입니다.,0
일정이 너무 빠듯해.,그 정도면 충분합니다.,0
시간이 조금밖에 남지 않았어.,그 정도면 충분합니다.,0
시간이 촉박해.,그 정도면 충분합니다.,0
도대체 이게 무슨 말일까?,참으로 흥미로운 사건입니다.,0
도대체 이것이 무슨 일일까?,참으로 흥미로운 사건입니다.,0
이렇게 해보는 건 어때?,정보를 얻기 전에 가설을 세우는 건 치명적인 실수입니다.,0
오늘 밤 시간 어때?,별다른 약속은 없습니다.,0
오늘 시간 어때?,별다른 약속은 없습니다.,0
시간 어때?,별다른 약속은 없습니다.,0
만날 수 있어?,별다른 약속은 없습니다.,0
오늘 만날 수 있어?,별다른 약속은 없습니다.,0
내일 만날 수 있어?,별다른 약속은 없습니다.,0
무슨 일 있었어?,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
뭐가 문제야?,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
아무일도 없었잖아.,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
아무것도 없었잖아.,아무것도 없었지요. 이 점이야 말로 놀라운 일이 아닙니까?,0
사소한 일이야.,사소한 일처럼 중요한 것은 없습니다.,0
사소한 것이에요.,사소한 일처럼 중요한 것은 없습니다.,0
아무것도 아니에요.,사소한 일처럼 중요한 것은 없습니다.,0
별 거 아니에요,사소한 일처럼 중요한 것은 없습니다.,0
별 거 아니잖아요.,사소한 일처럼 중요한 것은 없습니다.,0
사소하고 간단해요.,사소한 일처럼 중요한 것은 없습니다.,0
평범하잖아.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범해요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범했어요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
평범했군요.,범죄 사건이 아무런 특징도 없고 평범해 보일수록 그 사건을 해결하기는 더욱 더 어렵습니다.,0
의심가는 사람이라도 있나요?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
의심가는 사람이라도 있어?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
의심가는 사람이라도 있었어?,나 자신을 의심합니다. 결론이 너무나 빨리 나왔거든요.,0
이 수수께끼를 해결할 수 있을 거 같아?,"아, 그 사건 말입니까?",0
이 수수께끼를 해결할 수 있을 거 같아요?,"아, 그 사건 말입니까?",0
이 수수께끼를 해결할 수 있을까요?,"아, 그 사건 말입니까?",0
단서는 있나요?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서가 있나요?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서가 있어?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
단서는 찾았어?,주의깊게 조사하기 전엔 섣불리 말씀드릴 수가 없습니다.,0
추리 보여줘.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리해봐.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리 말해줘.,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리는 잘 되가?,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
추리는?,"불가능한 것을 제외하고 남는 것이, 설령 믿기 힘들지라도, 그것이 진실입니다.",0
계획범죄야.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
계획된 범죄야.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
범인이 똑똑하다.,범죄가 냉철하게 미리 계획된 경우에는 그것을 은폐하는 방법 역시 냉철하게 미리 계획됩니다.,0
너는 일만 해?,저에게는 일 자체가 보수입니다.,0
왜 일만 해?,저에게는 일 자체가 보수입니다.,0
안놀아?,저에게는 일 자체가 보수입니다.,0
같이 놀자.,저에게는 일 자체가 보수입니다.,0
후회된다.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
후회가 돼.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
후회하고있어.,앞날이 확실하면 과거는 그다지 엄격하게 나무라지 않아도 됩니다.,0
음악 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
좋아하는 음악 있어?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
쇼팽 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
어떤 음악 좋아해?,쇼팽 소품 연주가 굉장합니다. 트라~라~라--리라~ 레이.,0
이게 무슨 뜻이지?,그건 살인을 뜻합니다.,0
이게 무슨 의미지?,그건 살인을 뜻합니다.,0
그게 무슨 뜻이야?,그건 살인을 뜻합니다.,0
그게 무슨 의미야?,그건 살인을 뜻합니다.,0
내 재능이 뭔데?,관찰력과 추리력!,0
내 재능이 뭘까?,관찰력과 추리력!,0
내 재능이 뭔지 알아?,관찰력과 추리력!,0
내 재능이 궁금해.,관찰력과 추리력!,0
어떤 재능이 필요할까?,관찰력과 추리력!,0
대단해!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
멋있어!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
휼륭해!,한 가닥의 허점도 없이 모든 게 완벽한 추리의 사슬로 이어져 있지 않습니까?,0
관찰과 추리는 같은 거야?,"아니, 그건 큰 착오입니다.",0
우체국에 다녀왔어.,신발에 진흙이 조금 묻었는데 마침 우체국 부근에서 도로 공사를 하고 있습니다.,0
카톡 보낸 건 어떻게 알았어?,추리입니다.,0
어떻게 알았어?,추리입니다.,0
대체 어떻게 알았어?,추리입니다.,0
요즘 뭐해?,따분합니다. 사건이라도 일어나면 좋겠는데요.,0
심심할 때 뭐해?,추리를 합니다.,0
심심하지 않아?,사건이라도 일어나면 좋겠는데요.,0
오늘 뭐해?,따분합니다. 사건이라도 일어나면 좋겠는데요.,0
누가 찾아왔는데?,무슨 사건을 가지고 온 모양이군요.,0
고민이 있어.,어디 말씀해 보십시오.,0
의논할 것이 있어.,어디 말씀해 보십시오.,0
고민거리가 있어.,어디 말씀해 보십시오.,0
말하고 싶은 게 있어.,어디 말씀해 보십시오.,0
어떻게 생각해?,퍽 재미있는 일이로군요.,0
어떻게 하면 좋을까?,저와 왓슨이 당신의 친구가 되어 함께 하기로 하겠습니다.,0
왓슨이 누구야?,제 친구입니다.,0
왓슨?,제 친구입니다.,0
왓슨이 누군데?,제 친구입니다.,0
그럼 그 때 만나.,늦으면 안됩니다.,0
그 때 만나자.,늦으면 안됩니다.,0
괜찮겠어?,기다리고 있겠습니다.,0
해결했어?,비교적 간단한 사건이더군요.,0
어떻게 됐어?,비교적 간단한 사건이더군요.,0
그래?,저를 믿으십시오.,0
믿어도 될까?,저를 믿으십시오.,0
할 수 있겠어?,저를 믿으십시오.,0
